LSOA code (2011),LSOA name (2011),Local Authority District code (2019),Local Authority District name (2019),Index of Multiple Deprivation (IMD) Rank,Index of Multiple Deprivation (IMD) Decile
E01015408,Poole 005B,E06000058,"Bournemouth, Christchurch and Poole","19,438",6
E01020354,Christchurch 007A,E06000058,"Bournemouth, Christchurch and Poole","19,400",6
E01032661,Poole 015H,E06000058,"Bournemouth, Christchurch and Poole","19,394",6
E01020405,East Dorset 004C,E06000059,Dorset,"19,267",6
E01020434,North Dorset 004B,E06000059,Dorset,"19,242",6
E01020539,West Dorset 004D,E06000059,Dorset,"19,146",6
E01015460,Poole 013B,E06000058,"Bournemouth, Christchurch and Poole","19,140",6
E01020422,East Dorset 006B,E06000059,Dorset,"19,114",6
E01020549,West Dorset 011D,E06000059,Dorset,"18,933",6
E01020546,West Dorset 001E,E06000059,Dorset,"18,898",6
E01020566,Weymouth and Portland 009D,E06000059,Dorset,"18,877",6
E01020533,West Dorset 005C,E06000059,Dorset,"18,833",6
E01020550,West Dorset 002D,E06000059,Dorset,"18,756",6
E01020508,West Dorset 002B,E06000059,Dorset,"18,750",6
E01020493,Purbeck 004E,E06000059,Dorset,"18,724",6
E01033288,Bournemouth 023D,E06000058,"Bournemouth, Christchurch and Poole","18,681",6
E01015383,Poole 007D,E06000058,"Bournemouth, Christchurch and Poole","18,650",6
E01020561,Weymouth and Portland 002E,E06000059,Dorset,"18,643",6
E01015440,Poole 011A,E06000058,"Bournemouth, Christchurch and Poole","18,622",6
E01020482,Purbeck 006E,E06000059,Dorset,"18,607",6
E01015318,Bournemouth 011C,E06000058,"Bournemouth, Christchurch and Poole","18,601",6
E01015468,Poole 015D,E06000058,"Bournemouth, Christchurch and Poole","18,574",6
E01020440,North Dorset 002A,E06000059,Dorset,"18,558",6
E01020455,North Dorset 003B,E06000059,Dorset,"18,439",6
E01015373,Bournemouth 010D,E06000058,"Bournemouth, Christchurch and Poole","18,427",6
E01020437,North Dorset 007C,E06000059,Dorset,"18,250",6
